separation, propensity, length, PredSS_r1_-1, PredSS_r1, PredSS_r1_1, PredSS_r2_-1, PredSS_r2, PrSS_fq_cn_H, PrSS_fq_cn_E, PrSS_fq_cn_C, PrCN_fq_cn_0, PrRCH_fq_cn0, PrRCH_fq_cn1, PrSA_fq_cn_0, PrSA_fq_cn_4, PrRCH_r1_-1, PrRCH_r1, PrRCH_r1_1, PrRCH_r2_-1, PrRCH_r2, PrRCH_r2_1, PrCN_r1_-1, PrCN_r1, PrCN_r1_1, PrCN_r2, PrSA_r1, PrSA_r2_-1, PrSA_r2, PrSA_r2_1, PrRCH_fq_gl0, PrRCH_fq_gl4, AA_fq_cn_A, AA_fq_cn_D, AA_fq_cn_E, AA_fq_cn_I, AA_fq_cn_F, PrSS_fq_gl_H, PrCN_fq_gl_0, PrSA_fq_gl_0, PSSM_r1_-4_A, PSSM_r1_-4_N, PSSM_r1_0_D, PSSM_r1_1_W, PSSM_r2_0_A, PSSM_cn_-2_A, PSSM_cn_-2_T, PSSM_cn_0_H, PSSM_cn_2_D, PSSM_cn_2_V, class
16,-0.537431306114032,201,H,H,H,C,C,0.4,0.0,0.6,0.0,0.067,0.067,0.4,0.067,4,4,?,1,0,1,4,4,4,1,1,4,4,3,0.219,0.209,0.067,0.0,0.067,0.067,0.133,0.488,0.139,0.274,-2,-1,-9,-4,1,0,-2,-4,-5,-4,negative
86,-0.28742697552208,128,C,C,C,E,E,0.047,0.259,0.694,0.388,0.435,0.165,0.129,0.518,0,0,0,1,3,3,0,0,0,4,4,3,0,1,0.43,0.0,0.059,0.071,0.047,0.094,0.035,0.109,0.359,0.148,3,-1,-1,-4,-4,-2,-1,-4,-3,-4,positive
395,0.161795577266193,620,C,C,C,E,E,0.02,0.429,0.551,0.112,0.241,0.074,0.19,0.19,1,0,1,3,3,3,1,0,0,4,4,2,0,3,0.274,0.144,0.066,0.074,0.061,0.069,0.051,0.068,0.145,0.177,-2,0,4,-3,-3,-3,-5,4,1,?,negative
52,-0.408292116519204,140,C,C,H,H,H,0.353,0.196,0.451,0.235,0.294,0.118,0.294,0.196,?,3,1,3,0,3,2,3,1,0,0,1,3,3,0.3,?,0.02,0.118,0.059,0.098,0.02,0.457,0.25,0.236,-4,-5,-4,-3,1,1,1,-1,-1,-2,negative
51,0.428102310078339,132,E,E,C,C,E,0.2,0.22,0.58,0.1,0.24,0.14,0.34,0.16,3,3,0,0,0,4,3,3,1,4,0,3,3,0,0.28,0.152,0.06,0.02,0.08,0.08,0.02,0.144,0.083,?,0,-1,-4,-4,0,-3,-3,2,-3,-2,negative
77,-0.479743680430727,108,C,C,C,E,E,0.224,0.355,0.421,0.342,0.368,0.171,0.132,0.382,2,0,1,0,1,2,2,0,0,1,3,4,3,2,0.333,0.0,0.079,0.053,0.092,0.053,0.026,0.157,0.259,0.13,-3,-4,5,-4,-1,-1,0,-6,1,-4,negative
24,0.799936747909806,267,C,C,?,E,E,0.0,0.348,0.652,0.043,0.13,0.13,0.391,0.087,3,3,2,3,1,0,3,3,3,2,0,0,3,4,0.199,0.142,0.043,0.043,0.087,0.0,0.0,0.228,0.086,0.322,0,0,-5,-3,0,4,-2,7,-6,-6,positive
37,-0.143784113262591,587,C,C,C,C,C,0.139,0.0,0.861,0.139,0.194,0.056,0.111,0.25,3,0,3,4,3,3,3,1,4,4,3,3,1,3,0.191,0.221,0.083,0.056,0.083,0.0,0.028,0.249,0.126,0.296,3,-3,-1,6,-2,1,0,-2,-1,0,negative
50,0.891527706500162,147,C,C,C,C,C,0.082,0.102,0.816,0.082,0.306,0.143,0.265,0.102,3,3,0,1,1,3,4,3,1,1,1,3,3,3,0.272,0.163,0.0,0.082,0.163,0.041,0.061,0.231,0.197,0.211,-3,-3,-7,-5,0,?,-3,-3,-5,-4,negative
6,-0.535980866669175,100,C,C,C,C,C,0.0,0.0,1.0,0.0,0.4,0.2,0.0,0.2,0,0,0,3,1,2,0,1,1,1,4,1,3,1,0.36,0.01,0.0,0.0,0.0,0.0,0.4,0.52,0.33,0.13,-1,1,1,2,-2,3,0,-3,-2,2,negative
63,-0.4852324628992,135,H,H,C,C,C,0.0,0.532,0.468,0.177,0.258,0.226,0.194,0.21,1,0,1,2,0,0,2,0,?,1,4,1,3,4,0.319,0.0,0.032,0.032,0.032,0.081,0.048,?,0.274,0.17,-1,3,1,-3,0,-3,-2,1,0,-3,negative
232,-0.365445070436067,401,C,C,C,C,C,0.251,?,0.446,0.121,0.264,0.19,0.26,0.19,3,3,1,0,3,3,4,3,1,4,2,4,0,3,0.227,0.1,0.043,0.065,0.091,0.139,0.026,0.172,0.117,0.282,0,-5,-1,-4,2,0,-3,-2,-6,4,negative
190,0.0989227983205789,321,C,C,H,C,C,0.206,0.233,0.561,0.148,0.254,0.143,0.28,0.212,4,4,4,3,3,1,4,4,4,3,0,2,1,3,0.237,0.1,0.063,0.074,0.063,0.026,0.053,0.146,0.115,0.271,6,-5,-6,-6,4,1,0,-7,-7,5,negative
11,-0.2299948018255,115,H,C,C,H,H,0.6,0.0,0.4,0.2,0.2,0.1,0.3,0.2,3,0,0,3,3,3,3,0,0,3,3,0,3,3,0.357,0.0,0.1,0.1,0.0,0.0,0.2,0.435,0.27,0.2,-1,-2,0,-7,0,0,2,-5,4,-5,negative
16,1.16304154068476,331,?,H,H,C,C,0.2,0.467,0.333,0.133,0.2,0.4,0.133,0.067,3,3,0,1,1,0,3,3,0,2,0,3,3,4,0.166,0.221,0.067,0.067,0.2,0.2,0.067,0.332,0.094,0.363,-4,-6,-4,-4,2,-1,-2,-5,4,-4,negative
19,-0.85620663328298,135,E,C,C,C,C,0.444,0.0,0.556,0.222,0.333,0.167,0.167,0.333,4,4,4,1,0,1,4,4,3,0,0,4,4,4,0.348,0.111,0.0,0.0,0.0,0.056,0.111,0.393,0.222,0.237,-4,-6,-5,-4,-2,-1,2,-4,-2,1,positive
11,-0.0386979284569494,131,H,H,C,H,H,0.5,0.0,0.5,0.2,0.4,0.1,0.1,0.3,0,3,3,0,3,3,1,3,3,3,1,3,0,0,0.282,0.031,0.1,0.4,0.1,0.0,0.0,0.702,0.229,0.206,5,-5,-4,-5,7,0,1,-4,3,-4,positive
22,-0.0785284142355738,66,C,C,C,C,C,0.0,0.143,0.857,0.095,0.333,0.286,0.143,0.19,3,1,1,0,3,3,4,2,1,3,3,4,1,0,0.303,0.0,0.095,0.0,0.095,0.048,0.0,0.121,0.106,0.121,5,-3,-2,-5,-5,2,-1,2,-2,0,positive
110,2.63886391138699,170,C,C,C,C,C,0.0,0.018,0.982,0.257,0.532,0.101,0.028,0.633,?,3,1,3,3,0,3,3,1,3,0,3,1,4,0.506,0.006,0.073,0.028,0.028,0.009,0.018,0.0,0.194,0.059,0,1,-6,0,-3,-1,-1,1,0,0,negative
29,0.0846524541809183,678,C,C,C,H,H,0.143,0.179,0.679,0.071,0.143,0.036,0.357,0.036,3,1,4,3,3,3,4,3,3,3,3,2,0,3,0.178,0.388,0.107,0.179,0.036,0.179,0.036,0.391,0.127,0.378,-2,-2,0,-6,-4,-4,-3,-3,-3,-3,negative
19,1.35659494835128,124,E,E,E,E,E,0.0,0.5,0.5,0.0,0.111,0.056,0.278,0.056,3,1,3,3,3,1,3,2,4,4,3,2,0,3,?,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.266,0.137,-1,2,0,3,-3,-1,0,0,3,-2,positive
14,-0.365445070436067,220,E,E,C,C,H,0.0,0.0,1.0,0.0,0.462,0.154,0.0,0.154,4,4,4,1,1,3,4,4,4,1,0,3,4,1,0.336,0.023,0.077,0.0,0.077,0.0,0.0,0.309,0.227,0.15,-2,-2,0,-3,-2,-2,-2,-1,?,0,negative
66,0.702477190922726,185,H,H,H,E,E,0.046,0.354,0.6,0.154,0.292,0.154,0.123,0.277,3,0,3,1,2,1,0,0,0,2,4,3,3,3,0.357,0.016,0.062,0.015,0.031,0.077,0.031,0.076,0.276,0.103,-1,3,-2,-3,?,0,2,-1,-3,1,negative
146,-0.186642774533391,452,C,E,E,C,C,0.0,0.338,0.662,0.317,0.379,0.11,0.186,0.393,3,3,3,1,3,3,3,3,4,3,3,4,1,3,0.316,0.148,0.034,0.069,0.034,0.062,0.041,0.0,0.217,0.162,-6,-5,-1,2,-2,-1,1,0,-1,-5,negative
17,-0.620222019076863,62,H,H,H,H,H,0.688,0.0,0.312,0.312,0.188,0.312,0.062,0.312,3,1,0,1,3,3,3,1,0,3,3,3,0,0,0.242,0.016,0.0,0.0,0.188,0.062,0.062,0.452,0.29,0.161,-3,-3,0,-4,-3,-2,7,-5,-2,1,negative
109,-1.44429440741442,219,E,E,E,C,C,0.611,0.074,0.315,0.185,0.231,0.083,0.222,0.204,3,3,0,0,1,0,3,3,1,2,2,4,3,3,0.219,0.137,0.056,0.065,0.111,0.074,0.019,0.571,0.146,0.265,0,-1,-4,-5,-4,-3,0,-6,-4,-1,negative
145,-0.673775173482879,212,E,E,E,E,C,0.0,0.5,0.5,0.333,0.375,0.111,0.139,0.389,3,3,0,0,1,0,4,3,1,2,1,4,4,4,0.377,0.019,0.035,0.069,0.042,0.049,0.042,0.0,0.302,0.137,-2,-1,-5,-3,0,1,2,-1,-2,-1,negative
13,0.471452689920424,186,C,E,E,C,C,0.0,0.5,0.5,0.0,0.0,0.083,0.333,0.0,3,3,3,3,3,3,3,4,4,3,0,0,0,2,?,0.161,0.083,0.0,0.083,0.0,0.083,0.414,0.14,0.328,1,3,-7,-7,-2,-3,-3,-3,-6,-5,positive
92,-0.481313099700134,425,C,C,C,C,C,0.407,0.143,0.451,0.088,0.242,0.099,0.231,0.165,4,4,3,0,0,0,4,3,3,1,1,3,3,4,0.209,0.238,0.099,0.022,0.132,0.077,0.033,0.238,0.118,0.287,-3,-4,-3,-6,0,-2,-1,1,1,-2,negative
169,-0.717098056127927,498,H,H,C,C,C,0.107,?,0.821,0.131,0.202,0.048,0.214,0.196,3,3,3,3,1,3,3,2,3,1,3,2,3,1,0.213,0.305,0.071,0.083,0.042,0.042,0.048,0.193,0.151,0.263,6,-4,-3,-4,0,-1,-2,-3,-4,-1,negative
36,-0.578292091327903,159,C,C,H,E,C,0.229,0.2,0.571,0.0,0.086,0.086,0.486,0.0,3,3,3,3,3,3,3,3,4,3,1,1,3,0,0.208,0.22,0.057,0.086,0.029,0.086,0.029,0.371,0.101,0.377,0,-1,-4,-5,-3,-1,1,-1,3,-5,negative
45,-0.507532387566928,219,C,C,C,E,E,0.0,0.318,0.682,0.068,0.159,0.091,0.25,0.227,0,0,0,3,3,3,1,0,0,4,4,0,0,3,0.187,0.247,0.045,0.023,0.0,0.023,0.068,0.023,0.123,0.274,-1,-4,1,-1,-4,-3,-2,-5,-3,-1,negative
112,-0.261888415190075,452,C,C,C,?,E,0.0,0.297,0.703,0.189,0.288,0.072,0.153,0.288,1,3,1,4,4,4,3,1,3,4,3,0,0,1,0.316,0.148,0.045,0.063,0.027,0.045,0.027,0.0,0.217,0.162,-2,-1,-1,-2,0,1,-1,-3,0,0,negative
37,-0.574117543306636,179,C,C,C,C,C,0.0,0.639,0.361,0.0,0.111,0.111,0.472,0.0,3,0,3,3,1,3,4,2,4,2,3,3,3,1,0.324,0.017,0.056,0.083,0.028,0.056,0.056,0.039,0.162,0.223,0,-3,1,?,-1,-2,3,1,-5,2,negative
33,-0.201664281504726,247,H,H,H,C,C,0.75,0.0,0.25,0.094,0.156,0.062,0.375,0.062,1,1,3,3,0,0,0,0,3,1,3,1,3,3,0.336,0.036,0.094,0.031,0.062,0.094,0.062,0.389,0.211,0.194,0,2,-1,-3,-2,0,1,-5,1,-3,negative
79,-0.098348783534432,452,E,C,C,C,C,0.0,0.038,0.962,0.256,0.359,0.064,0.026,0.436,3,3,1,0,3,3,3,3,1,1,0,4,3,3,0.316,0.148,0.115,0.064,0.026,0.013,0.013,0.0,0.217,0.162,-1,-4,-4,-4,-1,-3,-1,-5,-7,6,negative
19,-0.543503555251413,367,C,H,H,C,C,0.833,0.0,0.167,0.444,0.222,0.222,0.222,?,3,1,0,1,0,0,4,2,0,0,3,4,4,4,0.213,0.253,0.056,0.0,0.056,0.0,0.0,0.302,0.172,0.332,-2,-3,-3,-4,1,-3,-5,-4,-4,-2,negative
525,-0.806811662032717,1244,C,C,C,E,E,0.239,0.094,0.668,0.155,0.212,0.124,0.233,0.202,3,3,0,4,4,4,4,3,1,4,3,0,0,3,0.198,0.27,0.076,0.065,0.073,0.055,0.025,0.211,0.16,0.26,-4,-3,6,-4,5,-1,6,-2,-2,-4,negative
176,-0.554961670106352,388,C,C,C,H,C,0.349,0.143,0.509,0.034,0.137,0.08,0.446,0.074,3,0,1,4,4,4,3,1,1,4,4,?,0,0,0.196,0.268,0.086,0.063,0.086,0.074,0.063,0.43,0.085,0.369,-1,2,3,-3,-2,-1,1,-6,-6,7,negative
176,0.295432897894212,237,X,C,C,C,C,0.0,0.394,0.606,0.194,0.206,0.08,0.177,0.343,X,0,3,3,1,3,X,3,4,2,4,3,3,3,0.249,0.114,0.057,0.08,0.029,0.051,0.029,0.0,0.19,0.198,0,0,-3,-7,1,-2,-2,2,-4,4,negative
10,-0.264777000864015,143,E,E,E,E,E,0.0,0.667,0.333,0.444,0.444,0.0,0.111,0.444,1,3,2,3,1,3,2,4,2,2,0,1,3,0,0.322,0.007,0.0,0.0,0.111,0.111,0.111,0.0,0.315,0.161,-1,0,-4,-3,-1,-2,-2,-2,-1,-3,positive
46,0.550840518321014,158,C,C,E,E,E,0.0,0.267,0.733,0.467,0.378,0.222,0.067,0.533,3,3,?,3,3,3,4,4,3,4,2,0,1,0,0.551,0.038,0.067,0.022,0.067,0.022,0.022,0.025,0.57,0.038,-1,-1,-4,11,-4,1,1,-1,-1,-1,positive
40,-0.330020840578311,247,H,H,H,H,H,0.308,0.333,0.359,0.205,0.308,0.282,0.179,0.282,3,3,1,3,3,3,3,2,0,4,2,0,0,0,0.336,0.036,0.103,0.026,0.026,0.103,0.026,0.389,0.211,0.194,-3,-4,-4,0,-4,1,2,-6,3,-2,positive
82,0.0793413827993367,122,C,C,C,E,E,0.0,0.556,0.444,0.111,0.494,0.136,0.086,0.358,0,0,1,3,0,0,0,4,4,1,4,1,4,4,0.434,0.0,0.086,0.049,0.0,0.049,0.025,0.0,0.098,0.123,0,0,-2,-4,0,-3,-3,-4,-1,-1,negative
116,-0.593125221569842,158,C,C,C,C,C,0.0,0.209,0.791,0.209,0.435,0.217,0.009,0.409,3,0,1,0,0,0,3,1,1,1,4,4,4,4,0.468,0.0,0.017,0.043,0.061,0.009,0.043,0.0,0.234,0.013,-2,2,2,0,-1,0,0,2,-2,-1,negative
242,1.04487659739466,456,C,C,E,C,C,0.266,0.149,0.585,0.158,0.245,0.108,0.369,0.224,3,3,3,4,4,4,4,4,4,4,2,0,0,0,0.252,0.206,0.046,0.075,0.058,0.066,0.066,0.364,0.167,0.351,1,-1,2,-2,-6,5,4,-1,-7,-3,negative
21,-0.247011286206205,102,H,H,H,E,E,0.25,0.5,0.25,0.1,0.2,0.15,0.3,0.15,2,3,0,1,1,1,2,3,0,1,0,3,4,4,0.216,0.137,0.05,0.1,0.1,0.15,0.0,0.225,0.147,0.284,-2,-2,-6,-5,-3,-3,-3,-1,-4,-1,negative
134,-0.212505703376357,188,C,C,E,C,C,0.414,0.18,0.406,0.188,0.271,0.143,0.293,0.211,4,4,3,3,3,0,4,4,4,3,0,1,3,4,0.25,0.25,0.045,0.053,0.09,0.09,0.038,0.399,0.165,0.303,-3,-6,-3,-3,2,-2,-3,0,-1,-2,positive
43,0.5402079338809,207,H,H,C,C,C,0.619,0.0,0.381,0.262,0.262,0.143,0.167,0.214,3,3,0,0,0,3,3,3,0,1,0,3,4,1,0.3,0.072,0.167,0.048,0.095,0.0,0.071,0.691,0.28,0.184,1,0,-4,-4,0,1,2,-3,-1,-1,negative
77,0.0989227983205789,303,E,C,C,E,E,0.184,0.289,0.526,0.158,0.224,0.066,?,0.224,4,4,4,3,3,3,4,4,4,4,0,0,0,3,0.224,0.244,0.092,0.026,0.066,0.039,0.013,0.238,0.145,0.29,-2,-6,-2,-2,6,2,-3,-6,-7,3,negative
135,-0.765311102421864,335,H,H,H,H,H,?,0.119,0.433,0.216,0.291,0.179,0.119,0.239,1,0,3,3,2,0,1,0,3,2,4,0,2,4,0.257,0.087,0.075,0.09,0.06,0.03,0.052,0.331,0.17,0.194,-1,-3,2,3,0,-2,0,0,-3,2,positive
69,-0.153557060760159,238,E,E,E,C,C,0.0,0.309,0.691,0.147,0.294,0.074,0.206,0.265,3,3,3,0,0,0,3,4,3,0,0,3,4,4,0.311,0.126,0.059,0.074,0.015,0.029,0.044,0.021,0.181,0.181,-1,-5,-5,-2,-2,2,-3,0,0,0,negative
375,0.21624941551255,865,E,E,E,E,E,0.316,0.195,0.489,0.193,0.246,0.134,0.233,0.233,1,3,2,1,1,3,2,4,3,1,0,4,3,0,0.238,0.129,0.064,0.078,0.07,0.048,0.053,0.394,0.168,0.242,6,-4,-5,-5,-2,5,-3,-1,3,0,negative
30,-0.579609897266314,113,E,E,C,H,H,0.621,0.241,0.138,0.483,?,0.345,0.069,0.483,3,1,0,1,0,0,3,1,0,0,4,4,4,4,0.46,0.0,0.034,0.034,0.276,0.069,0.0,0.354,0.425,0.142,-1,3,1,-4,-1,0,-2,-2,4,-2,negative
99,1.04490094001399,265,C,C,C,C,C,0.153,0.378,0.469,0.122,0.245,0.122,0.296,0.173,3,3,0,4,4,4,4,3,1,4,2,2,0,0,0.219,0.238,0.112,0.061,0.061,0.041,0.031,0.226,0.121,0.313,-2,-6,-2,-4,-7,-2,-5,-2,3,-4,negative
133,-0.574117543306636,174,H,C,C,C,C,0.091,0.045,0.864,0.258,0.356,0.167,0.053,0.409,1,2,0,3,0,1,0,3,0,0,3,0,4,4,0.374,0.0,0.045,0.045,0.038,0.068,0.061,0.103,0.27,0.046,-2,0,0,-4,-1,1,-4,-3,1,0,negative
31,1.35659494835128,134,E,E,E,E,E,0.333,0.167,0.5,0.1,0.267,0.0,0.333,0.2,3,3,3,3,3,3,4,4,4,4,0,0,1,0,0.216,0.239,0.0,0.1,0.067,0.1,0.1,0.306,0.142,0.328,-1,-1,-5,-4,-2,0,-1,-5,2,-2,positive
23,-0.453080027406847,105,C,C,C,C,C,0.0,0.545,0.455,0.182,0.318,0.182,0.227,0.273,3,0,0,1,0,0,3,0,1,0,4,3,4,4,0.371,0.038,0.136,?,0.091,0.045,0.0,0.048,0.295,0.162,-3,-5,1,-4,2,0,-1,-3,0,0,negative
23,-0.820131410775656,299,C,C,C,H,H,0.5,0.182,0.318,0.136,0.136,0.045,0.409,0.136,0,0,3,2,0,0,1,3,3,0,3,1,4,4,0.254,0.161,0.0,0.0,0.0,0.045,0.136,0.452,0.144,0.311,0,1,1,-5,2,-7,-4,-8,-8,1,positive
74,-0.223130093762819,162,C,C,C,C,C,0.753,0.0,0.247,0.479,0.329,0.219,0.137,0.37,0,0,0,3,0,0,0,0,0,0,4,4,4,4,0.34,0.037,0.123,0.082,0.096,0.027,0.055,0.63,0.451,0.167,0,4,1,-4,-1,-2,-1,-1,2,-1,negative
187,0.0235861604549471,390,E,C,C,H,H,0.581,0.043,0.376,0.091,0.156,0.07,0.425,0.113,4,4,4,0,1,3,4,4,4,1,0,3,3,0,0.205,0.249,0.124,0.07,0.059,0.043,0.022,0.469,0.11,0.349,0,-4,-6,-5,2,-5,-4,-5,-6,-8,negative
87,1.51389645446527,208,C,E,E,E,E,0.0,0.547,0.453,0.081,0.233,0.047,0.291,0.163,1,3,3,2,3,3,1,3,4,4,2,3,0,3,0.231,0.135,0.047,0.058,0.047,0.047,0.081,0.029,0.077,0.192,0,-2,-3,2,-3,0,0,-1,8,-5,negative
35,-0.143784113262591,212,E,E,E,C,E,0.0,0.294,0.706,0.529,0.559,0.088,0.059,0.529,3,3,3,3,3,3,4,3,4,3,3,4,3,4,0.377,0.019,0.029,0.059,0.088,0.088,0.029,0.0,0.302,0.137,-1,-1,-2,-3,-2,-1,4,0,1,1,negative
28,-0.0055895080301872,249,C,C,C,H,H,0.296,0.148,0.556,0.037,0.185,0.111,0.222,0.111,4,4,4,3,1,3,4,4,4,0,0,3,3,0,0.221,0.181,0.0,0.111,0.037,0.037,0.037,0.185,0.104,0.261,1,-3,-8,1,0,-1,0,-1,0,1,negative
93,-0.574117543306636,492,C,C,C,H,H,0.326,0.087,0.587,0.391,0.359,0.207,0.065,0.38,3,0,0,0,1,0,?,0,0,0,3,4,4,4,0.323,0.128,0.043,0.076,0.054,0.054,0.043,0.417,0.244,0.177,0,1,2,-5,1,-1,-1,-1,-1,1,negative
53,0.438024347506295,107,H,H,C,H,H,0.577,0.0,0.423,0.654,0.577,0.096,0.058,0.635,0,3,3,3,3,3,1,3,3,3,0,1,3,3,0.57,0.0,0.077,0.058,0.115,0.058,0.019,0.439,0.579,0.103,-3,-1,-3,-4,-1,-2,0,-2,-4,-1,positive
73,0.0976253763868929,305,C,C,C,H,H,0.403,0.333,0.264,0.083,0.208,0.125,0.333,0.097,0,3,3,3,3,1,2,4,4,3,0,0,0,3,0.22,0.216,0.111,0.069,0.069,0.069,0.014,0.282,0.082,0.285,1,1,-5,-7,-1,-7,-7,-6,-6,-7,negative
33,0.551778417434986,179,C,C,C,C,C,0.562,0.0,0.438,0.031,0.094,0.125,0.312,0.094,0,0,0,3,3,3,0,0,1,4,4,2,0,1,0.251,0.128,0.031,0.031,0.062,0.062,0.094,0.464,?,0.268,-1,-1,1,-4,-1,-4,-6,-2,3,-2,negative
76,-0.0557492336181167,182,E,E,E,E,E,0.173,0.347,0.48,0.013,0.133,0.093,0.36,0.08,4,4,4,3,3,3,4,4,4,3,0,0,2,0,0.203,0.099,0.107,0.013,0.133,0.013,0.067,0.209,0.104,0.269,4,1,-2,-2,-4,-5,-3,1,-3,4,positive
207,-0.521950453129646,247,H,H,H,H,H,0.325,0.117,0.558,0.311,0.277,0.141,0.175,0.306,2,1,3,3,3,0,2,0,3,3,3,0,1,3,0.287,0.028,0.058,0.102,0.131,0.053,0.024,0.356,0.324,0.158,-1,5,0,-2,-1,-2,?,0,-2,0,negative
28,-0.277449028204251,205,C,E,E,C,E,0.0,0.63,0.37,0.185,0.222,0.0,0.222,0.37,3,3,3,3,3,3,3,3,4,3,3,3,3,3,0.283,0.039,0.074,0.074,0.0,0.037,0.037,0.063,0.185,0.2,4,-1,-1,0,-1,-1,-1,-2,-1,-1,negative
9,-0.295112436192171,517,C,C,C,H,H,0.75,0.0,0.25,0.375,0.25,0.375,0.125,0.125,1,0,0,3,2,0,0,0,0,0,4,1,4,4,0.269,0.12,0.125,0.125,0.0,0.0,0.125,0.321,0.25,0.174,?,-3,2,-6,-1,1,-1,-1,-6,6,positive
77,-0.521874289465868,362,C,C,C,C,C,0.368,0.066,0.566,0.145,0.237,?,0.211,0.197,3,4,4,1,1,3,4,4,4,1,1,3,4,1,0.24,0.16,0.092,0.066,0.039,0.066,0.039,0.268,0.13,0.196,5,-3,-5,-5,-4,0,0,2,-2,-2,negative
94,-0.0053328802722301,182,C,C,C,C,C,0.344,0.237,0.419,0.258,0.323,0.14,0.247,?,0,3,0,0,3,3,1,3,1,3,1,3,3,4,0.407,0.027,0.086,0.032,0.075,0.075,0.032,0.291,0.374,0.176,-1,0,-4,-2,-2,1,0,1,-2,-2,positive
12,1.15934056238624,125,E,E,E,C,C,0.0,0.091,0.909,0.455,0.545,0.091,0.091,0.636,4,4,4,0,3,1,4,4,4,3,1,4,0,4,0.368,0.04,0.273,0.0,0.0,0.0,0.0,0.064,0.336,0.152,0,-1,-4,-3,-1,-1,-1,-1,-1,-1,negative
35,-0.446870491593751,91,C,C,C,C,E,0.176,0.0,0.824,0.235,0.265,0.088,0.088,0.235,3,3,3,3,3,3,3,3,4,3,2,3,1,3,0.242,0.077,0.118,0.059,0.029,0.029,0.029,0.066,0.154,0.132,0,-2,-3,0,-2,-4,-3,5,-3,-3,negative
77,0.5402079338809,172,H,H,H,C,C,0.132,0.289,0.579,0.066,0.132,0.105,0.421,0.145,2,3,3,3,4,4,1,3,3,3,0,1,3,3,0.145,0.285,0.053,0.026,0.053,0.026,0.013,0.32,0.081,0.36,?,-3,-6,-1,0,-3,-3,1,1,-2,negative
58,-0.629575936342645,244,C,C,C,H,H,0.386,0.175,0.439,0.246,0.228,0.175,0.298,0.175,3,0,1,1,3,2,3,1,3,3,4,3,0,2,0.258,0.135,0.14,0.14,0.07,0.053,0.018,0.303,0.217,0.295,-3,-6,6,2,-4,0,1,0,-1,0,positive
50,-0.16854968894129,151,C,C,C,H,H,0.735,0.0,0.265,0.449,0.347,0.122,0.224,0.347,0,1,3,3,3,3,0,1,3,3,3,0,3,3,0.225,0.079,0.143,0.02,0.102,0.02,0.02,0.689,0.278,0.278,-2,?,-2,6,-3,-1,-1,-2,-3,1,negative
13,0.295432897894212,129,C,C,C,C,H,0.0,0.0,1.0,0.583,0.583,0.333,0.0,0.75,0,1,1,0,0,1,1,0,1,0,3,4,4,3,0.388,0.008,0.0,0.0,0.083,0.0,0.0,0.341,0.357,0.186,-2,-4,-1,-4,-1,2,0,1,-2,-2,negative
98,0.141851067468977,292,C,C,C,H,H,0.33,0.0,0.67,0.454,0.443,0.289,0.082,0.557,3,3,3,3,3,0,4,4,4,3,1,0,3,4,0.493,0.0,0.093,0.041,0.082,0.052,0.01,0.247,0.555,0.055,1,-1,-4,-4,-4,1,0,-7,-1,-2,positive
49,-1.88815652750283,193,C,C,E,C,C,0.0,0.792,0.208,0.104,0.125,0.062,0.333,0.125,0,0,1,3,4,3,0,1,2,2,3,3,4,3,0.249,0.067,0.062,0.062,0.042,0.042,0.042,0.28,0.223,0.223,0,-1,4,0,-1,1,0,3,2,-2,negative
112,0.0235861604549471,184,C,C,H,C,C,0.784,0.0,0.216,0.288,0.252,0.18,0.207,0.171,3,3,3,3,0,3,3,3,4,0,2,1,4,1,0.228,0.065,0.027,0.099,0.072,0.099,0.063,0.799,0.255,0.255,-8,-8,-6,-7,2,0,-2,-1,-4,0,negative
21,-0.446870491593751,143,H,H,C,?,C,0.45,0.0,0.55,0.2,0.25,0.25,0.15,0.3,1,0,1,1,3,0,0,0,1,3,4,2,1,4,0.336,0.112,0.15,0.0,0.05,0.0,0.05,0.252,0.245,0.203,1,0,2,-5,-5,-2,0,-3,3,-2,negative
143,-0.620222019076863,250,C,C,C,E,E,0.134,0.359,0.507,0.12,0.275,0.07,0.31,0.176,1,0,2,3,3,4,0,1,3,4,3,1,0,0,0.288,0.1,0.049,0.035,0.07,0.014,0.056,0.204,0.132,0.272,-1,-4,0,-5,-6,1,1,0,-2,-1,negative
178,0.56963958949565,222,C,C,C,E,C,0.294,0.102,0.605,0.198,0.277,0.175,0.158,?,3,4,4,1,3,1,4,4,4,1,0,3,0,3,0.302,0.095,0.073,0.068,0.04,0.034,0.034,0.234,0.194,0.153,0,0,-5,-3,0,-2,-3,3,-4,1,positive
48,-0.0178509540145711,131,E,E,E,C,C,0.0,0.532,0.468,0.298,0.362,0.106,0.17,0.298,3,3,2,3,0,3,3,4,2,1,0,1,3,1,0.397,0.008,0.064,0.021,0.043,0.021,0.021,0.061,0.321,0.16,-1,-4,-4,-3,-1,1,1,2,-4,5,negative
126,-0.334728526624013,187,E,E,E,H,C,0.48,0.208,0.312,0.152,0.24,?,0.256,0.16,3,3,3,0,1,0,3,3,3,2,3,4,2,4,0.251,0.043,0.088,0.056,0.072,0.128,0.04,0.487,0.15,0.267,-2,?,-1,-2,2,2,0,-5,2,-3,negative
